date,product,location,demand_kg,price_per_kg
2026-01-01,Tomato,Delhi NCR,3898,23.79
2026-01-02,Tomato,Delhi NCR,3934,26.28
2026-01-03,Tomato,Delhi NCR,4034,23.65
2026-01-04,Tomato,Delhi NCR,4369,25.15
2026-01-05,Tomato,Delhi NCR,3758,24.81
2026-01-06,Tomato,Delhi NCR,3768,23.3
2026-01-07,Tomato,Delhi NCR,3904,21.13
2026-01-08,Tomato,Delhi NCR,3558,23.16
2026-01-09,Tomato,Delhi NCR,3695,24.47
2026-01-10,Tomato,Delhi NCR,3972,21.88
2026-01-11,Tomato,Delhi NCR,4408,23.66
2026-01-12,Tomato,Delhi NCR,3915,21.86
2026-01-13,Tomato,Delhi NCR,3813,24.17
2026-01-14,Tomato,Delhi NCR,3712,24.56
2026-01-15,Tomato,Delhi NCR,3820,23.56
2026-01-16,Tomato,Delhi NCR,3828,26.78
2026-01-17,Tomato,Delhi NCR,4192,22.41
2026-01-18,Tomato,Delhi NCR,4351,22.17
2026-01-19,Tomato,Delhi NCR,3998,21.06
2026-01-20,Tomato,Delhi NCR,3730,24.3
2026-01-21,Tomato,Delhi NCR,4110,24.26
2026-01-22,Tomato,Delhi NCR,3964,23.55
2026-01-23,Tomato,Delhi NCR,3727,22.92
2026-01-24,Tomato,Delhi NCR,4168,25.59
2026-01-25,Tomato,Delhi NCR,4320,21.36
2026-01-26,Tomato,Delhi NCR,4075,23.42
2026-01-27,Tomato,Delhi NCR,3902,24.92
2026-01-28,Tomato,Delhi NCR,4217,25.4
2026-01-29,Tomato,Delhi NCR,3888,23.54
2026-01-30,Tomato,Delhi NCR,4107,25.46
2026-01-31,Tomato,Delhi NCR,4218,23.72
2026-02-01,Tomato,Delhi NCR,4113,22.21
2026-02-02,Tomato,Delhi NCR,4215,26.03
2026-02-03,Tomato,Delhi NCR,4063,25.51
2026-02-04,Tomato,Delhi NCR,4148,23.03
2026-02-05,Tomato,Delhi NCR,4155,26.31
2026-02-06,Tomato,Delhi NCR,4091,26.35
2026-02-07,Tomato,Delhi NCR,3883,25.23
2026-02-08,Tomato,Delhi NCR,4377,23.55
2026-02-09,Tomato,Delhi NCR,4134,21.02
2026-02-10,Tomato,Delhi NCR,4085,24.54
2026-02-11,Tomato,Delhi NCR,4397,23.22
2026-02-12,Tomato,Delhi NCR,3992,23.25
2026-02-13,Tomato,Delhi NCR,4308,24.49
2026-02-14,Tomato,Delhi NCR,4304,24.77
2026-02-15,Tomato,Delhi NCR,4423,25.45
2026-02-16,Tomato,Delhi NCR,4035,23.51
2026-02-17,Tomato,Delhi NCR,4097,21.8
2026-02-18,Tomato,Delhi NCR,4227,24.39
2026-02-19,Tomato,Delhi NCR,4180,23.65
2026-02-20,Tomato,Delhi NCR,3930,23.37
2026-02-21,Tomato,Delhi NCR,4378,22.8
2026-02-22,Tomato,Delhi NCR,4416,24.61
2026-02-23,Tomato,Delhi NCR,4540,24.26
2026-02-24,Tomato,Delhi NCR,4252,23.89
2026-02-25,Tomato,Delhi NCR,3865,23.96
2026-02-26,Tomato,Delhi NCR,4226,27.69
2026-02-27,Tomato,Delhi NCR,4186,24.45
2026-02-28,Tomato,Delhi NCR,4469,22.25
2026-03-01,Tomato,Delhi NCR,4685,25.13
2026-03-02,Tomato,Delhi NCR,4376,22.64
2026-03-03,Tomato,Delhi NCR,4490,21.9
2026-03-04,Tomato,Delhi NCR,4348,27.29
2026-03-05,Tomato,Delhi NCR,4068,23.15
2026-03-06,Tomato,Delhi NCR,4268,23.24
2026-03-07,Tomato,Delhi NCR,4224,24.1
2026-03-08,Tomato,Delhi NCR,4316,24.71
2026-03-09,Tomato,Delhi NCR,4095,26.32
2026-03-10,Tomato,Delhi NCR,4123,23.52
2026-03-11,Tomato,Delhi NCR,4413,22.15
2026-03-12,Tomato,Delhi NCR,4311,25.96
2026-03-13,Tomato,Delhi NCR,3983,24.28
2026-03-14,Tomato,Delhi NCR,4572,25.17
2026-03-15,Tomato,Delhi NCR,4305,22.02
2026-03-16,Tomato,Delhi NCR,4375,24.45
2026-03-17,Tomato,Delhi NCR,4328,24.52
2026-03-18,Tomato,Delhi NCR,4163,24.35
2026-03-19,Tomato,Delhi NCR,4340,22.93
2026-03-20,Tomato,Delhi NCR,4625,24.71
2026-03-21,Tomato,Delhi NCR,4326,24.98
2026-03-22,Tomato,Delhi NCR,4367,25.18
2026-03-23,Tomato,Delhi NCR,4502,22.77
2026-03-24,Tomato,Delhi NCR,4468,24.62
2026-03-25,Tomato,Delhi NCR,4444,26.85
2026-03-26,Tomato,Delhi NCR,4253,22.87
2026-03-27,Tomato,Delhi NCR,4138,22.78
2026-03-28,Tomato,Delhi NCR,4535,24.51
2026-03-29,Tomato,Delhi NCR,4599,25.24
2026-03-30,Tomato,Delhi NCR,4302,26.18
2026-03-31,Tomato,Delhi NCR,4252,28.08
2026-04-01,Tomato,Delhi NCR,4413,22.71
2026-04-02,Tomato,Delhi NCR,4107,24.72
2026-04-03,Tomato,Delhi NCR,4260,25.07
2026-04-04,Tomato,Delhi NCR,4635,23.89
2026-04-05,Tomato,Delhi NCR,4397,21.73
